"Date","Time","Odometer","Litres of Gas","Cost per Litre","Payment"
08/18/2008,14:44,543,34.722,1.26,43.75
09/01/2008,14:22,1059,26.018,1.297,33.75
09/25/2008,19:53,1654,35.759,1.159,41.44
10/18/2008,00:00,2332,33.45,1.006,33.65
11/02/2008,00:00,2896,30.663,0.918,28.15
11/14/2008,00:00,3398,29.803,0.849,25.30
11/29/2008,16:25,3975,35.483,0.818,29.03
12/14/2008,14:46,4434,26.160,0.755,19.75
12/28/2008,14:09,4734,25.941,0.665,17.25
01/04/2009,12:14,5182,26.821,0.755,20.25
01/18/2009,15:53,5566,28.318,0.81,23.00
01/30/2009,21:00,5914,25.396,0.827,21.00
02/01/2009,12:00,6000,26.540,1.190,31.58
